service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2026-05-25_20260512_Link_MemorialDay_Sunday,1,0,0,0,0,0,0,20260525,20260526
LLR_2026-05-26_20260512_Link_JuneEMW_Weekday,0,1,1,1,0,0,0,20260526,20260528
LLR_2026-05-29_Jan29_Spring26_CLCrev_Weekday,0,0,0,0,1,0,0,20260529,20260529
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260601,20260828
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,1,1,1,1,1,0,0,20260415,20260828
SNDR_2026-05-03_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260503,20260503
SNDR_2026-05-17_20260427_Sounder_EventStart1620_Weekend,0,0,0,0,0,0,1,20260517,20260517
SNDR_2026-05-31_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260531,20260531
SNDR_2026-06-21_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260621,20260621
SNDR_2026-07-05_20260427_Sounder_EventStart1400_Weekend,0,0,0,0,0,0,1,20260705,20260706
SNDR_2026-07-19_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260719,20260719
SNDR_2026-08-01_20260427_Sounder_EventStart1730_Weekend,0,0,0,0,0,1,0,20260801,20260801
SNDR_2026-08-02_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260802,20260802
SNDR_2026-08-09_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260809,20260809
SNDR_2026-08-23_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260823,20260823
SNDR_2026-08-29_20260427_Sounder_EventStart1330_Weekend,0,0,0,0,0,1,0,20260829,20260829
TLINE_2026-01-24_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20260124,20260828
TLINE_2026-01-24_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20260124,20260828
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20260126,20260828
2026railplus,1,1,1,1,1,0,0,20260713,20270301
20260604,0,0,0,1,0,0,0,20260604,20260604
20260605,0,0,0,0,1,0,0,20260605,20260605
20260606,0,0,0,0,0,1,0,20260606,20260606
20260607,0,0,0,0,0,0,1,20260607,20260607
20260608,1,0,0,0,0,0,0,20260608,20260608
20260609,0,1,0,0,0,0,0,20260609,20260609
20260610,0,0,1,0,0,0,0,20260610,20260610
20260611,0,0,0,1,0,0,0,20260611,20260611
20260612,0,0,0,0,1,0,0,20260612,20260612
20260613,0,0,0,0,0,1,0,20260613,20260613
20260614,0,0,0,0,0,0,1,20260614,20260614
20260615,1,0,0,0,0,0,0,20260615,20260615
20260616,0,1,0,0,0,0,0,20260616,20260616
20260617,0,0,1,0,0,0,0,20260617,20260617
20260618,0,0,0,1,0,0,0,20260618,20260618
20260619,0,0,0,0,1,0,0,20260619,20260619
20260620,0,0,0,0,0,1,0,20260620,20260620
20260621,0,0,0,0,0,0,1,20260621,20260621
20260622,1,0,0,0,0,0,0,20260622,20260622
20260623,0,1,0,0,0,0,0,20260623,20260623
20260624,0,0,1,0,0,0,0,20260624,20260624
20260625,0,0,0,1,0,0,0,20260625,20260625
20260626,0,0,0,0,1,0,0,20260626,20260626
20260627,0,0,0,0,0,1,0,20260627,20260627
20260628,0,0,0,0,0,0,1,20260628,20260628
20260629,1,0,0,0,0,0,0,20260629,20260629
20260630,0,1,0,0,0,0,0,20260630,20260630
20260701,0,0,1,0,0,0,0,20260701,20260701
20260702,0,0,0,1,0,0,0,20260702,20260702
20260703,0,0,0,0,1,0,0,20260703,20260703
20260704,0,0,0,0,0,1,0,20260704,20260704
20260705,0,0,0,0,0,0,1,20260705,20260705
20260706,1,0,0,0,0,0,0,20260706,20260706
20260707,0,1,0,0,0,0,0,20260707,20260707
20260708,0,0,1,0,0,0,0,20260708,20260708
20260709,0,0,0,1,0,0,0,20260709,20260709
20260710,0,0,0,0,1,0,0,20260710,20260710
20260711,0,0,0,0,0,1,0,20260711,20260711
20260712,0,0,0,0,0,0,1,20260712,20260712
20260713,1,0,0,0,0,0,0,20260713,20260713
20260714,0,1,0,0,0,0,0,20260714,20260714
20260715,0,0,1,0,0,0,0,20260715,20260715
20260716,0,0,0,1,0,0,0,20260716,20260716
20260717,0,0,0,0,1,0,0,20260717,20260717
20260718,0,0,0,0,0,1,0,20260718,20260718
20260719,0,0,0,0,0,0,1,20260719,20260719
20260720,1,0,0,0,0,0,0,20260720,20260720
20260721,0,1,0,0,0,0,0,20260721,20260721
20260722,0,0,1,0,0,0,0,20260722,20260722
20260723,0,0,0,1,0,0,0,20260723,20260723
20260724,0,0,0,0,1,0,0,20260724,20260724
20260725,0,0,0,0,0,1,0,20260725,20260725
20260726,0,0,0,0,0,0,1,20260726,20260726
summer2026_MonFri,1,1,1,1,1,0,0,20260525,20260907
summer2026_SatSun,0,0,0,0,0,1,1,20260530,20260906
winter2025_Fri,0,0,0,0,1,0,0,20250905,20260522
winter2025_MonThu,1,1,1,1,0,0,0,20250902,20260521
winter2025_Sat,0,0,0,0,0,1,0,20250906,20260516
winter2025_Sun,0,0,0,0,0,0,1,20250907,20260517
winter2026_Fri,0,0,0,0,1,0,0,20260911,20270528
winter2026_MonThu,1,1,1,1,0,0,0,20260908,20270527
winter2026_Sat,0,0,0,0,0,1,0,20260912,20270529
winter2026_Sun,0,0,0,0,0,0,1,20260913,20270530
304,1,1,1,1,1,0,0,20260531,20260905
305,0,0,0,0,0,1,0,20260531,20260905
306,0,0,0,0,0,0,1,20260531,20260905
